Year
JC Buttler (RR),2022-2022,17,17,2,863,116,57.53,579,149.05,4,4,-,83,45,2022
KL Rahul (LSG),2022-2022,15,15,3,616,103*,51.33,455,135.38,2,4,3,45,30,2022
Q de Kock (LSG),2022-2022,15,15,1,508,140*,36.28,341,148.97,1,3,-,47,23,2022
HH Pandya (GT),2022-2022,15,15,4,487,87*,44.27,371,131.26,-,4,-,49,12,2022
Shubman Gill (GT),2022-2022,16,16,2,483,96,34.50,365,132.32,-,4,2,51,11,2022
DA Miller (GT),2022-2022,16,16,9,481,94*,68.71,337,142.72,-,2,-,32,23,2022
F du Plessis (RCB),2022-2022,16,16,1,468,96,31.20,367,127.52,-,3,2,49,13,2022
S Dhawan (PBKS),2022-2022,14,14,2,460,88*,38.33,375,122.66,-,3,-,47,12,2022
SV Samson (RR),2022-2022,17,17,1,458,55,28.62,312,146.79,-,2,-,43,26,2022
DJ Hooda (LSG),2022-2022,15,14,-,451,59,32.21,330,136.66,-,4,-,36,18,2022
LS Livingstone (PBKS),2022-2022,14,14,2,437,70,36.41,240,182.08,-,4,-,29,34,2022
DA Warner (DC),2022-2022,12,12,3,432,92*,48.00,287,150.52,-,5,1,52,15,2022
Abhishek Sharma (SRH),2022-2022,14,14,-,426,75,30.42,320,133.12,-,2,1,47,13,2022
Ishan Kishan (MI),2022-2022,14,14,1,418,81*,32.15,348,120.11,-,3,1,45,11,2022
RA Tripathi (SRH),2022-2022,14,14,3,413,76,37.54,261,158.23,-,3,2,40,20,2022
SS Iyer (KKR),2022-2022,14,14,1,401,85,30.84,298,134.56,-,3,-,41,11,2022
NT Tilak Varma (MI),2022-2022,14,14,3,397,61,36.09,303,131.02,-,2,1,29,16,2022
AK Markram (SRH),2022-2022,14,12,4,381,68*,47.62,274,139.05,-,3,-,25,19,2022
D Padikkal (RR),2022-2022,17,17,-,376,54,22.11,306,122.87,-,1,1,40,14,2022
RD Gaikwad (CSK),2022-2022,14,14,-,368,99,26.28,291,126.46,-,3,2,33,14,2022
N Rana (KKR),2022-2022,14,14,1,361,57,27.76,251,143.82,-,2,1,29,22,2022
V Kohli (RCB),2022-2022,16,16,1,341,73,22.73,294,115.98,-,2,3,32,8,2022
RR Pant (DC),2022-2022,14,13,2,340,44,30.90,224,151.78,-,-,-,35,16,2022
AD Russell (KKR),2022-2022,14,12,3,335,70*,37.22,192,174.47,-,1,2,18,32,2022
RM Patidar (RCB),2022-2022,8,7,1,333,112*,55.50,218,152.75,1,2,-,27,18,2022
KD Karthik (RCB),2022-2022,16,16,10,330,66*,55.00,180,183.33,-,1,1,27,22,2022
WP Saha (GT),2022-2022,11,11,1,317,68,31.70,259,122.39,-,3,1,40,7,2022
SO Hetmyer (RR),2022-2022,15,15,8,314,59*,44.85,204,153.92,-,1,-,21,21,2022
N Pooran (SRH),2022-2022,14,13,5,306,64*,38.25,212,144.33,-,2,1,16,21,2022
SA Yadav (MI),2022-2022,8,8,1,303,68*,43.28,208,145.67,-,3,-,23,16,2022
GJ Maxwell (RCB),2022-2022,13,13,2,301,55,27.36,178,169.10,-,1,1,31,15,2022
S Dube (CSK),2022-2022,11,11,1,289,95*,28.90,185,156.21,-,2,1,22,16,2022
PP Shaw (DC),2022-2022,10,10,-,283,61,28.30,185,152.97,-,2,1,37,10,2022
AT Rayudu (CSK),2022-2022,13,11,-,274,78,24.90,224,122.32,-,1,-,25,15,2022
RG Sharma (MI),2022-2022,14,14,-,268,48,19.14,223,120.17,-,-,1,28,13,2022
YBK Jaiswal (RR),2022-2022,10,10,-,258,68,25.80,194,132.98,-,2,-,28,10,2022
JM Bairstow (PBKS),2022-2022,11,11,-,253,66,23.00,175,144.57,-,2,-,34,9,2022
DP Conway (CSK),2022-2022,7,7,1,252,87,42.00,173,145.66,-,3,1,22,12,2022
MR Marsh (DC),2022-2022,8,8,-,251,89,31.37,189,132.80,-,2,1,19,14,2022
R Powell (DC),2022-2022,14,12,2,250,67*,25.00,167,149.70,-,1,2,10,22,2022
MM Ali (CSK),2022-2022,10,10,-,244,93,24.40,177,137.85,-,1,2,24,11,2022
JM Sharma (PBKS),2022-2022,12,10,2,234,44,29.25,143,163.63,-,-,-,22,12,2022
MS Dhoni (CSK),2022-2022,14,13,6,232,50*,33.14,188,123.40,-,1,-,21,10,2022
RV Uthappa (CSK),2022-2022,12,11,-,230,88,20.90,171,134.50,-,2,1,19,14,2022
